decode_path	fusion	enhance_model	finetune_set	test_set	checkpoint	wer
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/blstm/checkpoint_best/viterbi_pad_audio/wer.473880	enhfromlibrimix	blstm	chime4_processed	chime4_dt05_real	checkpoint_best	16.221099598067774
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_best/viterbi_pad_audio/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_best	15.572108116080976
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_last	15.572108116080976
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/skim/checkpoint_best/viterbi_pad_audio/wer.473880	enhfromlibrimix	skim	chime4_processed	chime4_dt05_real	checkpoint_best	15.055864891773295
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_last	30.963613433602692
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/skim/checkpoint_best/viterbi_pad_audio/wer.473880	enhfromlibrimix	skim	chime4_processed	chime4_et05_real	checkpoint_best	26.736419262926805
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_70_38000/viterbi_pad_audio/wer.473880	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_70_38000	15.431984955197462
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_72_39000/viterbi_pad_audio/wer.473880	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_72_39000	15.457797116412847
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_74_40000/viterbi_pad_audio/wer.473880	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_74_40000	15.417235148788672
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_best/viterbi_pad_audio/wer.473880	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_best	15.417235148788672
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_last/viterbi_pad_audio/wer.473880	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_last	15.417235148788672
