finetune_set	enhance_model	fusion	chime4_dt05_real	chime4_et05_real	ls_test_clean	ls_test_other	ls_test_clean_wham_-5_0db	ls_test_clean_wham_0_5db	ls_test_clean_wham_5_10db	ls_test_clean_wham_10_15db	ls_test_clean_wham_15_20db	ls_test_other_wham_-5_0db	ls_test_other_wham_0_5db	ls_test_other_wham_5_10db	ls_test_other_wham_10_15db	ls_test_other_wham_15_20db
chime4_processed	DCCRNet	enhfromlibrimix	15.572108116080976	30.96361343360269												
chime4_processed	DCCRNet	fusion_attention_first	14.753493860393082	29.04853099163903												
chime4_processed	DCCRNet	fusion_concat_first	14.277812603709576	26.92325657433789												
chime4_processed	DCCRNet	fusion_concat_last	12.552085253881042	19.39838385725629												
chime4_processed	DCCRNet	fusion_interpolate	12.843393930454663	23.644261759073288												
ls_clean_100	ConvTasNet	enhfromlibrimix			10.202373706634203	18.969107617064363	30.473980523432743	17.46804625684723	12.650258673158856	11.10392574558734	10.569461351186852	50.99058135758363	34.09242878703934	26.02449229123283	21.75458036413656	20.32363448789714
ls_clean_100	ConvTasNet	fusion_attention_first			7.938983566646378	16.120589190531685	27.946211199026173	15.181832014607425	10.8338405356056	8.945146074254412	8.298463177115034	46.62514567372906	30.45297365454789	22.42133618630953	18.51059358462449	16.869495443516804
ls_clean_100	ConvTasNet	fusion_attention_last			8.212872793670115	15.805360793229276	30.744065733414487	15.294050517346315	10.757760194765671	8.92802799756543	8.412583688374925	50.41361786676347	31.72917104483885	22.136675391169785	17.906883441912004	16.754866935406834
ls_clean_100	ConvTasNet	fusion_concat_first			8.262325015216069	17.29935234892918	26.474056603773583	14.894628727936702	11.107729762629337	9.279899573950091	8.604686548995739	45.77307376344497	30.359360372924748	22.692623655503123	18.95955524138853	18.07691572894179
ls_clean_100	ConvTasNet	fusion_concat_last			7.969415702982349	15.692642760254476	27.02754108338405	13.818091905051734	9.88664029214851	8.587568472306756	7.965611685940353	47.8688649867222	30.061326251838832	21.681982309000247	17.87058441434385	16.68991078081119
ls_clean_100	ConvTasNet	fusion_interpolate			8.404975654290931	16.97839252622127	26.62051125989045	14.369674376141203	10.527617163724894	9.154367011564212	8.534312233718808	46.4761286131861	29.91039871616071	22.06407733603347	18.91943526355005	17.534340790554612
ls_clean_100	ConvTasNet	fusion_interpolate_last			8.037888009738284	16.361309057562615	29.85392574558734	15.756238587948872	11.444385270846013	9.808657942787583	8.941342057212417	49.89970005540378	32.195326977819384	23.703265002006	19.538429207343867	18.053990027319795
ls_clean_100	DCCRNet	enhfromlibrimix			10.350730371272062	19.062720898687505	32.3969111381619	17.38435788192331	12.75106512477176	10.95747108947048	10.51049908703591	51.666889555432434	34.12108591406683	24.899222436619983	21.06871979061193	19.775328124104465
ls_clean_100	DCCRNet	fusion_attention_first			9.2722915398661	15.730852262957798	30.00989044430919	15.45952525867316	11.018335362142423	9.40733414485697	9.392118076688984	49.322736564583614	31.131192327531856	22.161511567926944	17.989033872724146	16.277248151615307
ls_clean_100	DCCRNet	fusion_attention_last			8.250912964090078	14.651433811588944	32.21622032866707	15.256010346926354	10.68738587948874	9.004108338405356	8.715003043213633	51.55226104732247	31.63937871348604	21.42979959115832	17.217201918117034	16.219933897560324
ls_clean_100	DCCRNet	fusion_concat_first			9.04214850882532	15.858854097013928	27.911975045648205	14.53134510042605	10.752054169202678	9.447276323797931	9.298919659160074	47.46766520833732	30.355539422654413	21.95135930305867	18.36157652408154	16.561908946755057
ls_clean_100	DCCRNet	fusion_concat_last			7.594720024345709	14.98194600997268	29.26049908703591	14.31071211199026	9.835286062081558	8.553332318928788	7.948493609251369	49.04953862025486	30.603901190226008	21.401142464130828	17.345203752173166	16.01360258296238
ls_clean_100	DCCRNet	fusion_interpolate			8.157714546561168	15.937183577555738	28.163040170419965	14.379184418746195	10.350730371272062	8.956558125380402	8.496272063298843	47.161989186710734	30.09571480427182	21.59601092791777	18.564086888409147	17.02806487973559
ls_clean_100	DCCRNet	fusion_interpolate_last			8.690276932440657	16.23139674837132	31.535301278149728	15.54131162507608	11.242772367620208	9.789637857577604	9.08399269628728	51.22174884893873	32.67867718701641	23.334543300918934	19.21746938463596	17.675715950556903
ls_clean_100	DCUNet	enhfromlibrimix					27.379412659768715	15.514683505782106	11.81337492391966	10.700699939135728	10.286062081558123	45.37187398506008	30.46252603022372	23.298244273350782	20.363754465735628	19.40851689815257
ls_clean_100	DCUNet	fusion_attention_first			8.543822276323798	15.279980131058592	24.69377662811929	13.274117468046256	9.913268411442484	8.73972915398661	8.300365185636032	42.27117284068548	27.235733526928147	20.37330684141146	17.76550828190971	16.491221366753912
ls_clean_100	DCUNet	fusion_attention_last			8.119674376141205	15.304816307815754	28.338024954351795	13.60316494217894	9.698341448569687	8.638922702373707	8.321287279367011	47.183004413197565	28.953250673442486	20.772596144661176	17.42162275757981	16.489310891618747
ls_clean_100	DCUNet	fusion_concat_first			8.931832014607425	15.707926561335803	23.596317711503342	12.819537431527694	9.825776019476567	8.79298539257456	8.585666463785758	41.82221118392144	27.176508797738	20.71146094033586	18.08073667921212	17.203828592170872
ls_clean_100	DCUNet	fusion_concat_last			7.585209981740718	15.016334562405673	25.199710894704808	12.912735849056604	9.570906877662813	8.414485696895921	7.826765063907486	44.94010660451254	27.96362455342644	20.371396366276294	17.192365741359875	16.298263378102135
ls_clean_100	DCUNet	fusion_interpolate			8.015063907486306	16.319278604588963	24.254412659768715	12.901323797930615	10.015976871576385	8.882379793061473	8.433505782105904	42.73923924880118	27.424870565309597	20.896777028446976	18.287067993810066	17.236306669468696
