decode_path	fusion	enhance_model	finetune_set	test_set	checkpoint	wer
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/blstm/checkpoint_best/viterbi_pad_audio/wer.filtered	enhfromlibrimix	blstm	chime4_processed	chime4_dt05_real	checkpoint_best	16.002269825507163
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_best/viterbi_pad_audio/wer.filtered	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_best	15.487966927506275
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.filtered	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_last	15.487966927506275
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/skim/checkpoint_best/viterbi_pad_audio/wer.filtered	enhfromlibrimix	skim	chime4_processed	chime4_dt05_real	checkpoint_best	15.021395897889922
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/blstm/checkpoint_best/viterbi_pad_audio/wer.filtered	enhfromlibrimix	blstm	chime4_processed	chime4_et05_real	checkpoint_best	26.06080541327945
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.filtered	enhfromlibrimix	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_last	29.14091322888218
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/skim/checkpoint_best/viterbi_pad_audio/wer.filtered	enhfromlibrimix	skim	chime4_processed	chime4_et05_real	checkpoint_best	26.440391917866016
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_70_38000/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_70_38000	15.312753858651503
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_72_39000/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_72_39000	15.338601284986337
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_74_40000/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_74_40000	15.301676390222287
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_best/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_best	15.301676390222287
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/blstm/checkpoint_last/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_dt05_real	checkpoint_last	15.301676390222287
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/DCCRNet/checkpoint_74_40000/viterbi_pad_audio/wer.filtered	fusion_attention_first	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_74_40000	14.852544937806814
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/skim/checkpoint_70_38000/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_dt05_real	checkpoint_70_38000	14.245140348935855
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/skim/checkpoint_72_39000/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_dt05_real	checkpoint_72_39000	14.248828888642986
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/skim/checkpoint_74_40000/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_dt05_real	checkpoint_74_40000	14.182435173914648
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/skim/checkpoint_best/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_dt05_real	checkpoint_best	14.182435173914648
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/skim/checkpoint_last/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_dt05_real	checkpoint_last	14.182435173914648
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/blstm/checkpoint_70_38000/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_et05_real	checkpoint_70_38000	24.96007515265383
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/blstm/checkpoint_72_39000/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_et05_real	checkpoint_72_39000	25.027004179777393
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/blstm/checkpoint_74_40000/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_et05_real	checkpoint_74_40000	25.043445587337374
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/blstm/checkpoint_best/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_et05_real	checkpoint_best	25.043445587337374
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/blstm/checkpoint_last/viterbi_pad_audio/wer.filtered	fusion_attention_first	blstm	chime4_processed	chime4_et05_real	checkpoint_last	25.043445587337374
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/skim/checkpoint_70_38000/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_et05_real	checkpoint_70_38000	25.44755834661168
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/skim/checkpoint_72_39000/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_et05_real	checkpoint_72_39000	25.573324579092997
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/skim/checkpoint_74_40000/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_et05_real	checkpoint_74_40000	25.5324139225068
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_et05_real/skim/checkpoint_best/viterbi_pad_audio/wer.filtered	fusion_attention_first	skim	chime4_processed	chime4_et05_real	checkpoint_best	25.5324139225068
