decode_path	fusion	enhance_model	finetune_set	test_set	checkpoint	wer
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_best/viterbi_pad_audio/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_best	15.572108116080976
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_last	15.572108116080976
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_last	30.963613433602692
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/DCCRNet/checkpoint_74_40000/viterbi_pad_audio/wer.473880	fusion_attention_first	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_74_40000	14.93417898890077
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_50000/decode/chime4_dt05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	fusion_attention_first	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_last	14.753493860393082
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_50000/decode/chime4_et05_real/DCCRNet/checkpoint_best/viterbi_pad_audio/wer.473880	fusion_attention_first	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_best	29.071885655565417
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_50000/decode/chime4_et05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	fusion_attention_first	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_last	29.04853099163903
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_concat_first_50000/decode/chime4_dt05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	fusion_concat_first	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_last	14.277812603709576
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_concat_first_50000/decode/chime4_et05_real/DCCRNet/checkpoint_63_34000/viterbi_pad_audio/wer.473880	fusion_concat_first	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_63_34000	27.105422952963707
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_concat_first_50000/decode/chime4_et05_real/DCCRNet/checkpoint_last/viterbi_pad_audio/wer.473880	fusion_concat_first	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_last	26.923256574337895
